,Unnamed: 0_x,business_id,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours,Unnamed: 0_y,review_id,user_id,stars_y,useful,funny,cool,text,date
182,678,zjQDk4tZyhEroyqtkgvx0g,The Cobblestone Eatery and Drinkery,115 W St Louis St,Lebanon,IL,62254,38.6041071,-89.8085329,3.5,52,1,"{'RestaurantsDelivery': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'WiFi': ""u'free'"", 'BikeParking': 'False', 'Caters': 'False', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'ByAppointmentOnly': 'False', 'GoodForDancing': 'False', 'Alcohol': ""u'full_bar'"", 'DogsAllowed': 'False', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'NoiseLevel': ""u'average'"", 'CoatCheck': 'False', 'GoodForKids': 'True', 'HappyHour': 'True', 'Smoking': ""u'outdoor'"", 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{u'breakfast': None, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': None, u'dessert': None}"", 'BusinessAcceptsBitcoin': 'False', 'Ambience': ""{u'divey': None, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}""}","American (Traditional), Nightlife, Breakfast & Brunch, Event Planning & Services, Venues & Event Spaces, Italian, Bars, Restaurants","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}",474,m2ZUq8VIAtHXRUg0lXPxLA,Ol_orYaeG-WvtCppMOaQ8g,3.0,0,0,0,"Decent food but nothing special. Service is great but the menu is just a little over the average American dinner food. The real problem is the specials are only in certain days and not well advertised. It's mostly sandwiches and salads with fried food apps during the weekends which seems odd when you'll get a lot of business from tourists etc, during those days. Anyway, I had the French dip and it was good. They use a local bakery I believe for their Brad's and they are good.",2018-07-29 19:09:24
237,822,gI34hM-873fwF1XQ8hOaSg,Joe’s Pizza and Pasta,"5775 Godfrey Rd, Ste A",Godfrey,IL,62035,38.949182799999996,-90.1903059,4.0,17,1,"{'HasTV': 'True', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{u'divey': None, u'hipster': None, u'casual': None, u'touristy': None, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': None}"", 'Alcohol': ""u'beer_and_wine'"", 'OutdoorSeating': 'True', 'DriveThru': 'True', 'WheelchairAccessible': 'True', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Salad, Pizza, Restaurants, Italian","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-20:0'}",1966,T-E777O6FooY5sQHYnkb7w,anHLDTq3SxFL546x_gW6Iw,5.0,0,0,0,"I really like their veggie, cauliflower crust pizza. It's pretty much the only thing that I get there, so I can't comment on the other food that's offered. I will see you there anytime I ordered it and went to pick it up they've been timely and I've never had to wait any longer once I have arrived to pick up my pizza. The staff are also pretty friendly there.",2019-02-24 21:49:43
257,836,MVmJuns9ZD9QLGltc0Am8g,Triple R's Smokehouse,1414 W Main St,Mascoutah,IL,62258,38.4935850144,-89.8207885399,4.5,8,0,"{'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'Caters': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Barbeque","{'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-18:0'}",5,GVoXS_AdNzSUbyNcoErdZQ,rqYkeGG9PBAdMRDvTMCmfw,5.0,0,0,0,"Out lunch today was pulled pork, smokehouse bowl, and delicious sides of sweet potato casserole and red beans and rice.   Red beans and rice was spicy but good. Sweet potato casserole yummy and meat was smoky juicy and plentiful. Definitely a must.",2015-11-18 18:51:24
265,848,61oyIzeFjG977kMhMxVznw,Distler's Auto Repair,100 N Main St,O Fallon,IL,62269,38.5616342,-89.896862,4.0,5,1,,"Towing, Automotive, Auto Parts & Supplies, Auto Repair","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",1250,QFvi6ORJa4Z0MtUEr76xnw,b4HCiSmf5Fks0fxySWA3iw,5.0,5,0,0,"Professional, HONEST, and gets the job done. The first time. Since we've discovered this place, Honda no longer gets a dime from me.",2014-01-14 19:57:35
270,1036,CJNKR_FQ4BOiJqcTtZlkoA,Kinzels Flower Shop,723 E 5th St,Alton,IL,62002,38.8913389123,-90.173185,4.0,8,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'None'}","Shopping, Flowers & Gifts, Florists","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-13:0'}",36,1TTbkNgtqag2mBRY6gR04Q,f24CHxfpqljsTsSzbzZqAA,5.0,0,0,1,"Our Mother's Day flowers were just delivered to my mom and I got this text from her: ""I've never heard of Kinzel Flowers but these are by far the nicest flowers I've ever gotten and they smell wonderful.""  When you make my wonderful momma happy, you get 5 stars!!!  Thank you Kinzel's!",2017-05-13 13:33:31
278,1045,9Bf4mhvCmA6sv0hpwi3jDw,Quality Inn & Suites Near St. Louis And I-255,1607 Pontiac Drive,Cahokia,IL,62206,38.555865000000004,-90.164445,3.0,14,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels & Travel, Hotels, Home Services, Home Cleaning","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",12,ECqMQLfRCtaB_0KFgP8suw,n6BQSsD5cXChXfZkuTO66Q,1.0,0,0,0,"Because when I say I want a non smoking room,it doesn't mean put me a a smoking floor in an enclosed hotel in a non smoking room. I don't want to smell that shit EVERYTIME I walk out my door. Won't be back. Thats why I called at 3:00 to make a resi so I could get a good room. But he wouldn't make me a reservation.",2012-08-15 03:38:17
292,1145,FzelkV3vzxkRgBmVSIqALA,Edley’s,2392 S State Rt 157,Glen Carbon,IL,62034,38.7733254332,-89.9929298076,3.0,34,1,"{'OutdoorSeating': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'Ambience': ""{u'divey': False, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}"", 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': None}""}","Barbeque, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",2981,TMBV2mz0DTfmsORn2mY4xg,E7kVFP4sONwbelyEHR68Tg,1.0,0,0,0,We tried opening day and at 11:15AM  they were almost out of everything.  You would think the day you open you would be giving samples of your menu and make a best effort not run out. We have not been back.,2021-08-28 19:47:55
327,1354,24Rr4ALt3fDNROR5LEgp0g,Imo's Pizza,2704 Godfrey Rd,Godfrey,IL,62035,38.922621299999996,-90.19255179999999,2.5,22,1,"{'OutdoorSeating': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BikeParking': 'False', 'HasTV': 'True', 'NoiseLevel': ""u'average'""}","Restaurants, Pizza",,207,LdlZCRDJs8Ni1uiW7jtI3A,i95fihay9lSR8AVjK2Y-aQ,4.0,0,0,0,"We go to Imos Pizza quite often. The family loves the thin crust and flavor. My favorite is the double sausage pizza. We have always had friendly and quick service. BTW, the salad with house dressing and double cheese is exceptional.",2014-09-27 14:41:01
350,1376,IS0B5nLJPluVT8NwGgospA,Cheddar's Scratch Kitchen,6600 N Illinois St,Fairview Heights,IL,62208,38.5965175492,-89.9841942417,2.5,187,1,"{'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'False', 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'DogsAllowed': 'False', 'Smoking': ""u'no'""}","Comfort Food, American (New), American (Traditional), Restaurants, Southern","{'Monday': '11:0-16:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",14,LXA6BSbXwMwQAlGBOtD2EQ,QQn0DByk6xs0hZ72bhJXSA,1.0,0,0,0,"Worst service in IL.  Lost our order, waited 25 minutes for an app.   They decided to start cleaning at 8pm.  Terrible,never going back to a Cheddars.",2018-09-03 01:28:53
539,1382,YnfJv2xUF1GUNORfHAFRFg,Aiello's Pizzeria,1318 Niedringhaus Ave,Granite City,IL,62040,38.7015013,-90.1494921,4.0,12,0,"{'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'beer_and_wine'"", 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'False', 'WiFi': ""'no'"", 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True'}","Restaurants, Pizza","{'Monday': '17:0-20:0', 'Tuesday': '17:0-20:0', 'Wednesday': '17:0-20:0', 'Thursday': '17:0-20:0', 'Friday': '17:0-22:0', 'Saturday': '13:0-22:0'}",339,jt-IHu1FCdlK7tu_qKS9Gw,s4IQHme4gyR1XznJfjx02Q,4.0,1,0,0,"I love this place. It's part of the effort to make downtown Granite City look less like a trash heap and more like a place people like to live and hang out. It's family run and they do a great job taking care of people when you come in. You can usually find a quality special.

Salads and wings are awesome, and pizza is on point too. This is a great place to kick off an evening out, especially when it's located right across from the movie theater. Good job guys!",2016-04-13 18:27:00
552,1616,G0jHNZzhiHWCYZmZWCg-6w,Downtown Diner,1400 Niedringhaus Ave,Granite City,IL,62040,38.7013636,-90.1472908,4.0,8,1,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HasTV': 'True'}","Restaurants, Diners","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1861,OAY1jdX35YjmcBZFeRTVeA,WwA3U5ncGaDNua6GTHSxcQ,2.0,0,0,0,"Cute little place! Fries were good but we had to ask the waitress for menus after waiting over 10 minutes. Her response was ""oh, there was only one of you a minute ago"", my daughter went to the bathroom, not sure why that would stop us from getting menus. Ordered a chili dog and the peanut butter sandwich with chili. We tried to up the taste of the chili with mustard, salt, and pepper but nothing helped. We also had fried mushrooms and you can taste they were frozen. My daughter said maybe we just ordered the wrong food so we'll probably give them another shot to see.",2019-04-07 03:50:27
560,1706,-lhJzNZPffleH2FQ3-5puw,Best Bridal Prices,200 W Homer M Adams Pkwy,Godfrey,IL,62035,38.924001000000004,-90.1909506,3.0,11,0,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True'}","Shopping, Bridal","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-17:0', 'Sunday': '12:0-17:0'}",252,U60EBovKeUHnUVaoLInipw,hyKcsA6p1qI6EucvOnJ1GA,4.0,6,1,0,"After I found ""the dress"" at a local bridal boutique, I still wanted to do some price matching to see if I could get a better deal, as I had already raised the amount I was willing to spend for my wedding dress in order to get what I really wanted. I came across bestbridalprices.com but was skeptical about buying online due to horror stories I've read about. I did some research on the company and the designer of my dress (Sottero & Midgeley by Maggie Sottero) and found that the website was a ""premier authorized dealer"". The website is linked to the physical store called Frew's Bridal in Alton, IL. 

The price was the best that I found anywhere in the Chicago area by at least $400, not to mention they were running a deal to get a free veil up to $100 and free shoes up to $50 and free shipping (although there are restrictions on the designers to choose from). A pretty good deal that can save a decent amount of money! The ordering process was fairly easy as well, although I didn't have an area to provide comments or specify a hollow to hem size, which would have been nice since the dress fits perfectly except the length is way too long. The shipping was way faster than estimated!!! I ordered March 31st and it wasn't scheduled to be delivered until July, but it came at the beginning of June!! I know these have a lot to do with the designer, but the dress goes to the store first to be checked before being shipped to the customer, so still great turn-around time. When I received the dress, there were 2 small areas where the stitching was loose. I called the store in the required timeframe and they didn't hesitate to let me return it to have it fixed by the designer. I declined, opting to have my seamstress fix it when she shortens the dress, since it was very small fixes and my parents were visiting soon and I really wanted my mom to see the dress since it would be the only chance before the wedding next year. 

I have 2 complaints. First, the veil was delivered in a round plastic container and it was kind of folded in, so I'm going to have to mold it to shape to my head or it will be sticking out every which way. I wish they would ship them in a container where the whole thing can lay somewhat flat. Second, the shoes I ordered were 1/2 size too small (my big toes hung over the edge a bit). I tried to exchange them since I didn't wear them anywhere and they were still in the packaging in perfect condition, but they wouldn't do it. I even took extra time looking at similar shoes and sizes to try to get it right the first time, but you can never 100% get it right with different brands. I think this was completely unreasonable and stupid - so make sure to pick the right size. At least they were free, but I wouldn't order the right size from them since I don't want to chance that those could possibly still be the wrong size and not be able to exchange or return them.

Overall, great company to work with minus the whole shoe debacle.",2013-10-10 02:23:05
